Capverdian Creole,Portuguese,English
"adeh, mim també","pois, eu também","Well, me too"
Má tava p Sâo Pedro,Mas eu estava em São Pedro,But I was in São Pedro
Má m del falá onte,Mas eu foi o ver ontem,But I went to see him yesterday
"Ontem nem mim êne pude falá má ele dret, ke m passa dia tud ne lugar sem rede","Ontem nem consegui falar com ele muito bem, porque eu passei o dia em um lugar sem rede","Yesterday I couldn't even talk to him very well, because I spent the day in a place without a network"
Am ok,Ahh ok,Uh ok
Mim tava ta te fazê job de xcolá,Eu estava a fazer trabalhos de escola,I was doing school work
Alias nhá vida so fazê job de xcolá,Aliás a minha vida é só fazer trabalhos de escola,"In fact, my life is just doing schoolwork"
Ess ê vida de um estudante,Esta é a vida de um estudante,This is the life of a studnt
Adeh,Pois,Then
Único mural ke m tem ke já te kuase te fecha esse ciclo ei,Única moral que eu tenho é que já estou a terminar este ciclo aqui,The only moral I have is that I'm already finishing this cycle here
Fé ne Deus irmão,Fé em deus meu irmão,Faith in God my brother
Yh brigada,Ya obrigada,Ya thank you
Nos tud merece reláxa ne bom lugar,Nós todos merecemos reláxar em um bom lugar,We all deserve to relax in a good place
Bô te lembra de Bikini Beach?,Tu te lembras de Bikini Beach?,Do you remember Bikini Beach?
Um de kes cosa ke nunca m xkecê,Uma das coisas que nunca esqueci,One of the things I never forgot
Einda mes condê já bô te um poss a frente de mim,Ainda mais quando estás à um passo afrente de mim,Even more when you're one step ahead of me
"Tem uns x poss a frent, prop","Estou a alguns passos a frente, mesmo","I'm a few steps ahead, even"
Kkkkk kel descontra mesm kkk,Kkkkk isso é normal mesmo kkk,Kkkkk this is normal even kkk
Kel tite bé ser algo inesquecível,Aquilo será algo inesquecível,That will be something unforgettable
De tontê ke jál tite anda êne dem ote formá del termina,De tanto que isto já está andar não tem outra forma de terminar,"Since this is already going on, there's no other way to end it"
Mim má bô tem xtória p bem fazê na mundo,Eu e tu temos muita história para fazer neste mundo,You and I have a lot of history to do in this world
Cert,Certo,Right
Txá so temp cert txegá,Deixa só o tempo certo chegar,Just let the right time come
"Ade clár, tud ne se temp","Pois claro, tudo ao seu tempo","Well, of course, all in due time."
"Tei te falá má Xia, ela tem pom nhá coração prop sabê","Estou aqui a falar com a Xia, rapaz ela colocou o meu coração em um estado mesmo bom","I'm here talking to Xia, boy she put my heart in a really good state"
Como essim? min intendê.,Como assim? não entendi.,Like this? I didn't understand.
Mi ne ê psoa diss kkk,Não sou pessoa disso kkk,I'm not that person lol
"Falá má Xia te txem sabê, ke coração tranquilo","falar com a Xia me deixa-me bem, com o coração tranquilo","Talking to Xia makes me feel good, with a peaceful heart"
"Am ok, jám intendê","Ah ok, já entendi","oh ok, i got it"
Mut bom usa bô mãe como âncora,Muito bom utilizar a tua mãe como âncora,Very nice to use your mother as anchor
"Nice, continua","bom, continua","good, continue"
"Sodade delá irmão, as vez coração te levanta pertód so ela p fazêm reláxa","Saudades dela irmão, as vezes levanto com o coração apertado e só ela me faz reláxar","I miss her brother, sometimes I get up with a heavy heart and only she makes me relax"
Te imegina ukê ke isse,Imagino o que é isso,I wonder what it is
"Ma, bô te fazê dret mesm","Mas, tu fazes bem mesmo","But, you are really good"
Ver bô oia mim te falá má nhá mãe às vez,Tomára tu visses eu e a minha mãe a falar às vezes,I wish you would see me and my mother talking sometimes
Mim nem pensa txega ness estade má ela,Nunca pensei em chegar em esses estado com ela,I never thought of getting to these state with her
Mãe ê cosa mes sabê ê ke tem,Mãe é a coisa mais boa que se tem,Mom is the best thing you have
"adeh, e nos te reclamá kkkk","Pois, e nós reclámamos kkkk","Yeah, and we complain lol"
"Néra, nos ê prop uns merda moda ke bô te dzê kkkk","De fato, nós somos uns merdas como tu dizes kkkk","In fact, we are shit like you say lol"
uns merda prop,uns merdas mesmo,"Yeah, some shit"
Nhá mano,Meu irmão,My brother
Manera?,Como vai?,How are you?
Ê moss condê bô podêr txmám dfavor,"Rapaz, quando tu poderes, chama-me por favor","Boy, when you can, please call me"
Oia Bia mano,Olha a Bia mano,Look at Bia bro
"Parabéns p Bia, Djô","Parabéns para a Bia, Djô","Congratulations to Bia, Djô"
dem el parábens lá dfavor,Dá os meus parabéns para ela ai por favor,Give my congratulations to her there please
Tabom irmão,Está bem irmão,ok brother
dondê ke no tite bei 25?,Onde nós vamos no dia 25?,Where are we going on the 25th?
tem elgum festa diabom?,Tem alguma festa boa?,Do you have any good parties?
ou no tite bei senta ne elgum ponta,Ou vamos nos sentar em algum lugar,Or we will sit somewhere
"Dia 25 einda te sem plone, e talvez sem dnhêr também kkkk","No dia 25 ainda estou sem plános, e talvez sem dinheiro também kkkk","On the 25th I'm still without plains, and maybe without money too kkkk"
"no te ranjá, kel ê descontra","Nós arranjámos, isso é normal","We got it, this is normal"
"Ade, cosa tud nas calmas","Pois, coisas nas calmas","Well, things are calm"
a ê nas calmas,"Pois, coisas nas calmas","Well, things are calm"
No te improvisa ei,Nós improvisamos aqui,We improvise here
Bô sabê ke nos ê mestre na arte de improviso,Tu sabês que nós somos mestres em improvisação,You know we are masters in improvisation
"por isse ke m te dzêb nos lorgód, moss kkk","por isso que te digo que nós somos abandonados, rapaz kkk","That's why I tell you that we are abandoned, boy kkk"
Sorre p esse kul,Desculpa pelo cool,Sorry for the cool
descontra,Reláxado,Chilled out
kel so prova ke nos uns merda mesm kkkk,Aquilo só prova que somos uns merdas mesmo kkkk,That just proves that we are really shits lol
txem bem dá kel krrida irmão,Deixa-me ir dar aquelá corrida irmão,Let me go to that racing brother
"mante kul, já bô sebê ê nos, tamo juntão mano","Fica bem, já sabês somos nós, estamos juntos irmão","It's fine, you know it's us, we're together brother"
Noite feliz,Noite feliz,Happy night
"manera, nhá irmão?","Como vai, irmão?","How are you, brother?"
já já sexta em irmão,já já é sexta feira em irmão,"it's already friday, brother"
Até te esperób nhá man,Até te espero meu irmão,I even wait for you my brother
"Jovy te prei, acho ke Elvis te bem também","O Jovy está por aqui, acho que o Elvis virá também","Jovy is here, I think Elvis will come too"
"el tite bei manhá, kel dzêm","ele irá amanhã, que ele me disse","He will go tomorrow, he told me"
Sebim,Bom,Good
gordem lá uns dos momom,Guarda-me aí dois mamões,Keep me two papayas
"Já bô bei, ele te zerada","Já foste, esta zerado mesmo","You're gone, you're really gone"
Gosterdia Milene déme falá sobre es kkkk,Há uns dias atrás a Milene falou comigo sobre eles kkkk,A few days ago Milene talked to me about them kkkk
"mokêm, kkkk?","porque, kkkk?",why lol?
El dzêm ke es dzêl ke m tava xtód te kmel es,Ela disse que lhe disseram que eu estava a comer-los,She said they told her I was eating them
El dzêm ke es dzêl ke m tava xtód te kmel es,Ele disse que lhe disseram que eu estava a comer-los,He said he was told I was eating them
Último vez ke m tive lá foi má bô,Última vez que eu estive ai foi contigo,Last time I was there was with you
ntom complicód pá kkk,então complicado kkk,then complicated kkk
dzêl bô tava kmel era ses meminha moda Zeca dzê,diz a ela que tu irás comer as maminhas dela como disse o Zeca,tell her you're going to eat her titties like Zeca said
oi um man bnit moss,vêja um rapaz bonito,see a handsome boy
bô êne de otxá,tu não achas,You don't think
"Te otxá sim, nhá irmão","eu acho sim, meu irmão","I think so, my brother"
bô te kul? esse life?,estás bem? Essa vida?,you are fine? This life?
"sim, el tite bei descontra","sim, esta indo bem","Yes, it's going well"
"já bô sebê, so krrida kkk","já tu sabês, só a correr kkk","you already know, just running lol"
"Ade so krreria, ê essim ke tem ke ser","Pois só correrias, é assim que tem que ser","Well, just running around, that's how it has to be"
Mim te entra ne xcóla dia 10,Eu entro em aulas no dia 10,I enter classes on the 10th
jáme te ke vontade de bei,Já estou com vontade de ir,I already want to go
"Mano, tud dret?","irmão, tudo bom?","brother, how are you?"
"Te suave, e bô irmão?","Estou suave, e tu irmão?","I'm soft, and you brother?"
m txmóbe a dias má el bei p caixa de correi,eu te chamei à dias mas foi para a caixa de correio,I called you days ago but it went to the mailbox
Talvez era falta de rede,Talvez era falta de rede,Maybe it was a lack of network
te suave també,estou suave também,I'm soft too
yeah m dá fe,"yeah, eu vi logo","Yeah, I saw soon"
Gora te xtód mes ê de kel lód dalá e lá tem carência de rede,"Agora, ando a ficar mais daquele ládo e aí tem carência de rede","Now, I'm staying more on that side and there's a lack of network"
Te suave també,Estou suave também,I'm soft too
"m oia loge, te descontra","eu vi logo, está reláxado","I saw it soon, it's relaxed"
Ukê ke te dzid moss?,O que é que se tem dito rapaz?,What have you been saying boy?
So te espera sexta fera dxgá pum tmá 1 semeninha de féria e reláxa um bocód,Estou só a esperar que a sexta feira chegue para que eu tome uma semaninha de feria e reláxar um bocado,I'm just waiting for Friday to arrive so I can take a week off and relax a little
"pois, isse erá bom speed","pois, isso seria um bom expediente",so that would be a good thing
k bô tite pláneia fazê?,O que é que estás a planear fazer?,What are you planning to do?
m pensa es tava bé dá nos era 15 dia,eu pensei que eles nos iam dar era 15 dias,I thought they were going to give us 15 days
"Te sem grana, ke m tive imprevisto ke nhe lent, ke se fosse tava cambá São Vicente","estou sem dinheiro, porque eu tive um imprevisto com a minha lente, porque se não fosse eu iria para São Vicente","I have no money, because I had an accident with my lens, because if it wasn't for it I would go to São Vicente"
Má kel lent xtraga?,Mas a lente ficou danificada?,But the lens got damaged?
"adé, devia ser 15, p bô bensse dvera","pois deveria ser 15, para que viesses de verdade","because it should be 15, for you to really come"
sodade de bô,saudades de ti,I miss you
"Sim, ele eskua um perna, gora tem ke bé ranjá ote","Sim, ele caiu uma perna agora eu tenho que ir arranjar outro","Yes, it fell one leg now I have to go get another"
Má kondê ke bô te bei trukel?,mas quando é que o vais trocar?,But when are you going to change it?
"Ade kel ideia era bé prop reláxa fazê uns volta má bô mediante bô pussiblidade,","Pois, a ideia era ir mesmo reláxar e fazer umas voltas contigo, mediante a tua possibílidade,","Well, the idea was to really relax and take a few turns with you, if you have the chance,"
passa 1 temp má Vuca e má Raff també,passar um tempo com o Vuca e o Raff também,spend time with Vuca and Raff too
jáme te kel dnhêr,Já tenho o dinheiro,I already have the money
"Te so te termina uns teste, talvez te bé sóbde ou segunta","Estou só a terminar uns testes, talvez vou no sabado ou na segunda","I'm just finishing some tests, maybe I'm going to Saturday or on Monday"
m tem temp agora moss,eu tenho tempo agora rapaz,I have time now boy
"m te sei de job 5, 6 hora","eu saio do trabalho as 5, 6 horas","I leave work at 5, 6 hours"
"adeh, inda mes","pois, ainda mais","Well, even more"
"am sim, nice","ah sim, bom","oh yes, good"
Es gente dá nos so 1 semana so p txem mal custmód,Esta gente nos deu só uma semana para nos deixar mal acostumados,These people gave us only a week to get us badly used to
"kkk calma, má pelo menos bô te reláxa kkk","kkk calma, mas pelo menos tu vais reláxar kkk","kkk calm down, but at least you'll relax lol"
"pois, te prop ke falta","pois, estou mesmo com falta","Well, I'm really missing"
Gora te bei te plánalto lest anda pralá um bocód,Agora vou até o plánalto leste andar por aí um bocado,Now I'm going to the eastern plateau to walk around a bit
"moss, bô tem ke bei levem lá um dia també porkê percê ke cosa tite rende pralá","rapaz, tens de me levar ai um dia porque parece que as coisas rendem bem por ai","boy, you have to take me there one day because things seem to go well there"
Ade basta bô kizer ê so no té bei irmão,"Pois, quando tu quiseres nós só iremos irmão","Well, when you want, we'll just go brother"
lá tem x mier?,ai tem x mulheres?,Is there x women?
"Pralá tem uns txuca, má ê ne féria grend ke bô te oies","Ai tem algumas miúdas, mas é nas férias grandes que tu as vês","There are some girls, but it's on the big holidays that you see them"
ntom no te bei ne féria grend kk,então vamos aí nas férias grandes kkk,So let's go on the big holidays kkk
pronta ne mei de mut,fazer coisas no meio dos matos,do things in the woods
No te sebi p no bé anda um bocód pralá,Nós subiremos para irmos andar um bocado por aí,We'll go up to go walk around a bit
el te fazê nos bem kkk,isto iria nos fazer bem kkk,This would do us well kkk
"Um bem enorme, nhá mano","um bem enorme, meu irmão","a huge one, my brother"
sim moss,sim rapaz,yes boy
"e mas, bô má kes mier pralá?","e mais, tu e as mulheres por aí?","What's more, you and women out there?"
"Sorre demora p respondê, ê ke m tite falá má nhe irmã","Desculpa demorar para responder, é que eu estava a falar com a minha irmã","Sorry to take a long time to answer, I was talking to my sister"
"descontra moss, nos êne dem des cosa","reláxado rapaz, nós não temos dessas coisas","Relaxed boy, we don't have these things"
elá te dret?,Ela está bem?,She is fine?
"boa noit, nhá man","boa noite, meu irmão","good night, my brother"
manera ke bô ta?,Como é que estas?,How are you?
"Te suave, prei te reláxa antes de bé deta, e bô kualé?","Estou suave, por aqui a reláxar antes de ir deitar, e tu como vais?","I'm soft, relaxing here before going to bed, and how are you?"
te prei p bem dá um carada,estou aqui para ir-me deitar,I'm here to go lie down
bô te fazê dret,tu fazês bem,You do well
te manhá bijim lá,até amanhã beijinhos ai,Until tomorrow kisses there
No te djunt nhá irmão,Estamos juntos meu irmão,We are together my brother
"Nery manera nhá man, te tud dret?","Nery, como tu vais meu irmão, está tudo bem?","Nery, how are you my brother, is everything okay?"
mim tei ne es,eu estou aqui neles,I'm here in them
Mim um fazê so 3,Eu fiz só 3,I did only 3
Ess semana tem mini-test de Gestão projeto?,Esta semana tem mini-teste de gestão de projetos?,Does this week have a project management mini test?
axo ke sim,acho que sim,I think so
"Bô txmem, jovem","Tu me chamaste, jovem","You called me, young man"
Era p dzêb ke Rafael dzê p bô entra na Messager,Era para te dizer que o Rafael disse para tu entrares no Messenger,It was to tell you that Rafael told you to enter Messenger
bô tava podê mandam fote de kel teste ke bô tinha ne mom kel hora?,tu poderias me enviar foto do teste que tinhas na mão aquelá hora?,Can you send me a photo of the test that you had in hand that time?
moda bô tel lá dfavor,assim como tu o tinhas ai por favor,Just like you had it there please
Ke correção?,com correção?,with correction?
"sim, posivel?","sim, possível?","Yes, possible?"
ntom te fcá te xpêra ntom,então fico a esperar,So I'm waiting
xpiá sel te parcê dret,Vê se aparece bem,See if it appears well
bô ta podê trel banda a banda p el fcá mas próximo dfavor,tu conseguirias o tirar lado a lado para ver se fica mais próximo por favor,could you take it side by side to see if it gets closer please
Ok,Ok,Ok
xpiá lá,Vê ai,See it
Kel número 2 de grupo 2,Aquele número 2 do grupo 2,That number 2 of Group 2
"um de kes mecânismos  ê socket, onon?","um daqueles mecânismos ê o socket, não?","one of those mechanisms is the socket, isn't it?"
pera te bem xpiel te dzêb,espera eu vou ver e te direi,Wait I will see and tell you
controlo de fluxo també,controlo de fluxo também,Flow control also
Yah ok brigada,Yah ok obrigado,Yah ok thanks
de nada,de nada,you are welcome
"Sónia, kel assunte de teste ê ukê mesm?","Sónia, o assunto do teste é o que mesmo?","Sónia, the subject of the test is what?"
Ke tem teste manhá,Não tem teste amanhã,There is no test tomorrow
"Ah ok, kel teste de kel dia...","Ah ok, aquele teste daquele dia...","Oh ok, that test of that day..."
Ê kes de normalização parte 1 e parte 2,São aquelás de normalização parte 1 e parte 2,Are standardization parts part 1 and part 2
kes slide de aulá 5 te sei ne kel teste?,Os slides da aula 5 vão sair no teste?,Will the slides from Lesson 5 come out on the test?
Ê so 4 parte um 1 e 2,É somente 4 parte 1 e 2,Is only 4 part 1 and 2
ok brigada,ok obrigada,OK thank you
Ana êne p xkecê,Ana não te esqueças,Ana don't forget
pera te bem mandób kes resolução també,espera eu vou te enviar as resoluções também,Wait I will send you the resolutions too
"Ok, dikanada m te mandób el","Ok, daqui a mais uns minutos o te envio","Okay, I'll send it to you in a few more minutes."
xpiá lá se bô te oias dret,Vê ai se tu os vês bem,See if you see them well
ene de dá,não deu,it didn't
se bô te ke Swag bô ta txmam dfavor,se tu tiveres com Swag tu podes me telefonar por favor,if you have Swag you can call me please
xpêra um bôkedim,Espera um pouco,Wait a minute
M te torna mandób es,Eu vou os reenviar para ti novamente,I will resend them to you again
Essim te kul?,Assim esta bem?,It's good this way?
"yah, mior","yah, melhor","Yah, better"
oia bô ta podê mandam kes de Abel també dfavor,Vê se tu consegues me enviar os do Abel também ai por favor,See if you can send me Abel's too please
Má es ê um bocód,Mas eles são muitos,But they are many
So xpêra um bôkedim,Espera só um pouco,Wait a minute
Neves dzê um exercício  semelhante  te sei ne teste,O Neves disse que um exercício semelhante irá sair no teste,Neves said a similar exercise will come out in the test
Sónia? Bô ta podê leva bô caderne de PA manhám dfavor?,Sónia? Tu consegues levar o teu caderno de PA amanhã por favor?,"Sónia? Can you take your PA notebook tomorrow, please?"
"Oi, te leval sim","Oi, eu o levarei sim","Hi, I will take it yes"
manera ke bô ta?,como é que tu estas?,how are you?
"Kul, e bh?","bem, e tu?",good and you?
manham bô te xplicam kes exercício ke profesoressor fazê kel dia,amanhã tu me explicas os exercícios que o professor fez aquele dia,Tomorrow you explain to me the exercises that the teacher did that day
també te kul,também estou bem,I'm fine too
brigada desde já,obrigada desde já,thank you in advance
"Mantê kul ntom, êne p xkecê","Fica bem então, não te esqueças","Be well then, don't forget"
Ok na boa,Ok esta bem,Ok is well
Sónia bom dia,Sónia bom dia,Sónia good morning
"bô ta podê levam bô caderne de kel disciplina de Abel dfavor, p m podê copia uns matéria lá dfavor","Tu conseguirias me levar o teu caderno da disciplina do Abel por favor, para eu poder copiar umas matérias ai por favor","Could you bring me your notebook from Abel's discipline please, so I can copy some subjects there please"
levam el hoje,leva-o hoje,Take it today
Te levób el sim,"Eu vou levá-lo para você, sim","I'll take it to you, yeah"
bom dia,bom dia,good morning
Kul e bh?,bem e tu?,good and you?
"també, esse xtude manera kel tite bei?","também, esse estudo como é que ele está a ir?","also, that study how is it going?"
"Sónia, bô tem certesa ke teste tite bei ser de consulta?","Sónia, tens a certeza que o teste será de consulta?","Sónia, are you sure the test will be for consultation?"
Teste de hoje ê so cálculo ou teória també?,O teste de hoje é só cálculo ou tem teórica também?,Is the test today just calculation or has theoretical too?
tud es kkk,Todos eles kkk,All of them kkk
Professor  dzê no leva nos máterial,O professor disse para nós levarmos os nossos máteriais,The teacher told us to take our materials
te xpêra bem ke bô tem razão,Espero bem que tu tenhas razão,I hope you are right
"agora ke sabê sel tava te falá de máquina e formulário, ou kes slide","agora não sei se ele estava a falar de máquina e formulário, ou os slides","now I don't know if he was talking about the machine and form, or the slides"
kel lá ke m krê sebê mesm,isto é que eu quero saber mesmo,This is what I really want to know
Má leva pelo menos um formulário num papel,Mas eu vou levar pelo menos um formulário em um papel,But I will take at least one form on a paper
for m te fazêl lá dente de sala ne hora de teste,se for eu o faço aí dentro da sala na hora do teste,"if it is, I'll do it inside the room at the time of the test"
bô tite bei lá p escola hoje?,Tu vais aí para a escola hoje?,Are you going to school today?
"Oi, ta bai sim, lá p 12 hora","Oi, eu vou sim, aí por volta das 12 horas","Hi, yes I will, there around 12 o'clock"
"bô te podê torna mandam fote de bô cader dfavor, desde diodo","tu consegues me enviar novamente fotos do teu caderno por favor, desde diodos","can you send me photos of your notebook again please, since diodes"
"tip má antes de trá fote, bô te marca um número ne bô caderne em sequência de um em um que p m podê acompanha","mas tipo antes de tirares as fotos, tu marcas um número no teu caderno em sequência de um em um para que eu possa acompanhar","But like before you take the photos, you marks a number in your notebook in sequence of one in one so I can follow"
Nhâ movel ke tite trá fote mut kul,O meu telefone não está a tirar fotos muito boas,My phone is not taking very good photos
yh ok,yah ok,yah ok
Bô ke txegá trás aonte,Tu não chegaste a os tirar ontem,You didn't get them to take them yesterday
"não, podê txá jám dá um jete","não, podes deixar já dei um jeito","No, you can leave it already found a way"
"Sónia, bô te podê bei cede manhám p xcolá? tip 7:15.","Sónia, tu consegues ir amanhã cedo para a escola? Tipo às 7:15.","Sonia, can you go to school tomorrow morning? Like at 7:15."
bô te xplicam uns cosa dfavor?,Tu me explicarias umas coisas por favor?,Would you explain a few things to me please?
"sim, um te tenta.","sim, vou tentar.",Yes I will try.
dfavor bei,por favor vá,"Please, go"
oia Rafa dóbe falá sobre um cosa mas loge,"Olha, o Rafa te falou sobre uma coisa mais tarde","Look, Rafa told you about something later"
no te ideia de encontra lá ne praça 7:45,estamos com ideias de encontrar aí na praça às 7:45,we have ideas to meet there in the square at 7:45
levá 150$00,leva 150$00,takes 150$00
no tite bei pronta um cosa,nós vamos aprontar algo,We will do something
Yh um te xpiá,Yh vou ver,Yh I'll see
"não, ê p bô bei","não, é para ires mesmo","no, it's for you to go"
Te lá te dzê bzot,Até aí vos direi algo,Until then I will tell you something
"falta pukim p 8 hora, bô sebê onoh?","falta pouco para as 8 horas, tu sabês não?","It's almost 8 o'clock, don't you know?"
jáme tinha dzid kes moss ke não,Já tinha dito os rapazes que não,I already told the boys no
Dpox ne bem pá casa ê chat,Depois na hora de vir para casa é complicado,Then when coming home is complicated
"não, bô te panha autocarro antes de 10 hora","não, tu pegas o autocarro antes das 10 horas","No, you take the bus before 10 am"
"não, fcá p próxima","não, fica para a próxima","No, stay for the next"
"ok, na boa ntom","ok, está bem então","Ok, okay then"
"bom ""noitada"" p bzot","boa ""noitada"" para vocês","good ""night"" to you"
"não, nos êne dite bei fcá ate tarde","não, nós não vamos ficar até tarde",no we won't stay up late
so mais ou menos até 22 Hora,só mais ou menos até 22 horas,only more or less until 22 hours
ntom já bô sebê,então já sabês,So you know
Feliz one nove atrazód kkk,Feliz ano novo atrasado kkk,Happy New Year Late Kkk
Manera?,Como vai?,How are you?
Kel negocê de kel código p kes mancarra te de pê?,Aquele negócio do código pelas mancarras ainda está de pé?,Is that code-by-the-mancarra business still standing?
"se bô tiver terminóde kel trobôi de Paulo, bô tava podê mandam el dfavor","se tiveres terminado o trabalho do Paulo, poderias-me o enviar por favor","if you have finished Paulo's work, could you please send it to me"
p m podê fazê kel pdf,para eu poder fazer o pdf,so I can make the pdf
e adiciona uns dos cosa ke m te otxá intressante pô lá,e adicionar umas coisas que eu achei interessante colocar aí,And add some things that I found interesting to put there
"xpêra um bôkedim, te sem net","Espere um pouco, estou sem net","Wait a minute, I'm out of net"
ok jál txega,ok já chegou,Ok already arrived
oia el te bom moda el ta,olha ele está bom como está,look he's good as he is
"Ukê ke m tava te bei pô, bô tel lá","o que eu estava a ir colocar, tu já tens aí","What I was going to put, you already have it there"
