Capverdian Creole,Portuguese,English
El nevá.,Ele nevou.,It snowed.
Iss tite txerê mefê.,Isso fede.,It stinks.
Iss tite txerê mafê.,Isso fede.,It stinks.
El funcioná.,Funcionou.,It worked.
Ê 3:30.,São 3:30.,It's 3:30.
Te ke frio.,Está frio.,It's cold.
Te escur.,Está escuro.,It's dark.
El te mort.,Está morto.,It's dead.
El te fêt.,Está feito.,It's done.
Ê kmida.,É comida.,It's food.
Ê grátis.,É grátis.,It's free.
Ê del.,É dela.,It's hers.
Te tarde.,Está tarde.,It's late.
Te têrde.,Está tarde.,It's late.
El te pirdid.,Está perdido.,It's lost.
El te ebert.,Está aberto.,It's open.
Ê ereia.,É areia.,It's sand.
Ê areia.,É areia.,It's sand.
Ê verdade!,É verdade!,It's true!
Ê verdede!,É verdade!,It's true!
Iss te funcioná.,Isso funciona.,It's work.
Deixa estar.,Deixe estar.,Let it be.
txáme bei!,Me deixar ir!,Let me go!
txáme bé!,Me deixar ir!,Let me go!
txáme bai!,Me deixar ir!,Let me go!
txáme bá!,Me deixar ir!,Let me go!
txême bei!,Me deixar ir!,Let me go!
txême bé!,Me deixar ir!,Let me go!
txême bai!,Me deixar ir!,Let me go!
txême bá!,Me deixar ir!,Let me go!
Fcá paród.,Ficar parado.,Lie still.
Saltá.,Solte.,Loosen up.
Bom tentativa!,Boa tentativa!,Nice shot!
Ê klor!,É claro!,Of course!
"Oh, dfavor!","Oh, por favor!",Oh please!
Perdoem?,Perdoe-me?,Pardon me?
Elê iss.,Leia isso.,Read this.
Dzê olá.,Diga olá.,Say hello.
Xpiá pe riba.,Veja acima.,See above.
Sinceramente?,Seriamente?,Seriously?
El txorá.,Ela chorou.,She cried.
El tentá.,Ela tentou.,She tried.
El tite caminha.,Ela caminha.,She walks.
El ê gostosa.,Ela é gostosa.,She's hot.
Siná ei.,Assine aqui.,Sign here.
Siná li.,Assine aqui.,Sign here.
Fcá pe tráz.,Fique atrás.,Stay back.
Fcá calm.,Fique calmo.,Stay calm.
Fcá mogre.,Fique magro.,Stay thin.
Pará ke iss.,Pare com isso.,Stop that.
Cuidá.,Cuidar.,Take care.
Panhá minha.,Pegue o meu.,Take mine.
Panha esse.,Pegue isso.,Take this.
Brigada.,Obrigada.,Thank you.
Obrigada.,Obrigada.,Thank you.
Ê iss.,É isso.,That's it.
Es kei.,Eles caíram.,They fell.
Es sei.,Eles saíram.,They left.
Es minti.,Eles mentiram.,They lied.
Es perdê.,Eles perderam.,They lost.
Es nadá.,Eles nadaram.,They swam.
Tom sabê.,Tom sabe.,Tom knows.
Tom sebê.,Tom sabe.,Tom knows.
Tom falá.,Tom falou.,Tom spoke.
Tentá de nov.,Tente novamente.,Try again.
Xperimentá.,Experimente.,Try it on.
vrá p esquerda.,Vire a esquerda.,Turn left.
Xperá ei.,Espere aqui.,Wait here.
Xperá li.,Espere aqui.,Wait here.
Atenção!,Atenção!,Watch out!
no te concordá.,Nós concordamos.,We agreed.
No consegui!,Conseguimos!,We did it!
No consegui!,Conseguimos.,We did it.
No xkecê.,Nós esquecemos.,We forgot.
No conversá.,Nós conversamos.,We talked.
No xperá.,Nós esperamos.,We waited.
No tite bei tentá.,Tentaremos.,We'll try.
No tite bé tentá.,Tentaremos.,We'll try.
No tite bai tentá.,Tentaremos.,We'll try.
No tite bá tentá.,Tentaremos.,We'll try.
No tite bei ganhá.,Vamos ganhar.,We'll win.
Nos ê gostose.,Somos gostosos.,We're hot.
No te triste.,Estamos tristes.,We're sad.
Nos ê tímid.,Somos tímidos.,We're shy.
Bem fêt!,Bem feito!,Well done!
Ukê mes?,O que mais?,What else?
Ukê mas?,O que mais?,What else?
E ai?,E aí?,What's up?
Kem kte importá?,Quem se importa?,Who cares?
Kem ke el?,Quem é ele?,Who is he?
Kem ke sebê?,Quem sabe?,Who knows?
Kem ke sabê?,Quem sabe?,Who knows?
Kem ke falá?,Quem falou?,Who spoke?
Kem ktite bei?,Quem vai?,Who'll go?
Kem ktite bé?,Quem vai?,Who'll go?
Kem ktite bai?,Quem vai?,Who'll go?
Kem ktite bá?,Quem vai?,Who'll go?
Kem kte doente?,Quem está doente?,Who's ill?
Maravilhoso!,Maravilhoso!,Wonderful!
Xkrevê Tom.,Escreva Tom.,Write Tom.
Bô te conduzi.,Você dirige.,You drive.
Bô te kmeça.,Você começa.,You start.
Bô tentá.,Você tentou.,You tried.
M te limp?,Estou limpo?,Am I clear?
M tite mrrê?,Estou morrendo?,Am I dying?
M te diantód?,Estou adiantado?,Am I early?
M te demitid?,Estou demitido?,Am I fired?
Mim ê primer?,Eu sou o primeiro?,Am I first?
M te contratód?,Eu sou contratado?,Am I hired?
M te cert?,Estou certo?,Am I right?
M te erród?,Estou errado?,Am I wrong?
Bô te dret?,Você está bem?,Are you OK?
Bô te cordód?,Você está acordado?,Are you up?
Perguntá pe alguém.,Pergunte a alguém.,Ask anyone.
Peguntá pralá.,Pergunte por aí.,Ask around.
Tmá cuidód.,Tome cuidado.,Be careful.
Ser serio.,Seja sério.,Be serious.
Póss te cantá.,Pássaros cantam.,Birds sing.
M podê bem?,Eu posso vir?,Can I come?
M podê ajudá?,Posso ajudar?,Can I help?
M podê fcá?,Posso ficar?,Can I stay?
Verifica iss.,Verifique isso.,Check this.
Xcolhê um.,Escolha um.,Choose one.
Bem ma mim.,Venha comigo.,Come along.
Entrá!,Entre!,Come on in!
Bem rapte!,Venha rápido!,Come quick!
Bem ate nos.,Venha até nós.,Come to us.
Ome te txorá?,Os homens choram?,Do men cry?
Ene p preocupá.,Não se preocupe.,Don't fret.
Ene p mexê!,Não me mova!,Don't move!
Ene mistid pressa.,Não se apresse.,Don't rush.
Ká mistid pressa.,Não se apresse.,Don't rush.
Ene p falá!,Não fale!,Don't talk!
Ke bô falá!,Não fale!,Don't talk!
Ene pe xperá.,Não espere.,Don't wait.
Ke bô xperá.,Não espere.,Don't wait.
Dever tite txmá.,O dever chama.,Duty calls.
Prienchêl.,Preenchê-lo.,Fill it up.
Xpiá um trobói.,Encontre um emprego.,Find a job.
Seguil.,Siga-o.,Follow him.
Xkecêl.,Esqueça-o.,Forget him.
Perdoem?,Me perdoe.,Forgive me.
Ranjá um vida!,Arranjar uma vida!,Get a life!
Bei pa cama.,Vá para a cama.,Get to bed.
Bé pa cama.,Vá para a cama.,Get to bed.
Bai pa cama.,Vá para a cama.,Get to bed.
Bá pa cama.,Vá para a cama.,Get to bed.
Desisti.,Desistir.,Give it up.
Bei kecê.,Vá aquecer.,Go warm up.
Bé kecê.,Vá aquecer.,Go warm up.
Bai kecê.,Vá aquecer.,Go warm up.
Bá kecê.,Vá aquecer.,Go warm up.
El cedê.,Ele cedeu.,He gave in.
El desligá.,Ele desligou.,He hung up.
El te ocopód.,Ele está ocupado.,He is busy.
El tei!,Ele está aqui!,He is here!
El te li!,Ele está aqui!,He is here!
El ê gentil.,Ele é gentil.,He is kind.
El te trozód.,Ele está atrasado.,He is late.
El ê preguiçose.,Ele é preguiçoso.,He is lazy.
El ê pobre.,Ele é pobre.,He is poor.
El te doente.,Ele está doente.,He is sick.
El fazê iss.,Ele fez isso.,He made it.
El fezê iss.,Ele fez isso.,He made it.
El ê suiço.,Ele é suíço.,He's Swiss.
El te sem dnher.,Ele está sem dinheiro.,He's broke.
El te fusk.,Ele está bêbado.,He's drunk.
El ê espert.,Ele é esperto.,He's smart.
Olil ei!,Aqui está ele!,Here he is!
Olil.,Aqui está.,Here it is.
Oli nos te bei.,Aqui vamos nós.,Here we go.
Segurá firme.,Segure firme.,Hold still.
Ke adorável!,Que adorável!,How lovely!
Manera ke trabói tá?,Como está o trabalho?,How's work?
Manera ke trobói tá?,Como está o trabalho?,How's work?
Txpaxá pá casa.,Apresse -se para casa.,Hurry home.
Mim ê um ome.,Eu sou um homem.,I am a man.
Mim ê human.,Eu sou humano.,I am human.
M te pront.,Estou pronto.,I am ready.
M te cert.,Eu estou certo.,I am right.
M te sinto mut.,Sinto muito.,I am sorry.
