Capverdian Creole,Portuguese,English
D tont k jal tite anda ene dem ote forma del termina,De tanto que isto já está andar não tem outra forma de terminar,
Mim ma bô tem xtória p bem faze na mundo,Eu e tu temos muita história para fazer neste mundo,
Cert,Certo,
Txá so temp cert txega,Deixa só o tempo certo chegar,
"Ade clar, tud ne se tempo","Pois claro, tudo ao seu tempo",
"Tei t fala ma Xia, ela tem pom nh coração prop seb","Estou aqui a falar com a Xia, rapaz ela colocou o meu coração em um estado mesmo bom",
Como essim? min intende.,Como assim? não entendi.,
Mi n ê psoa diss kkk,Não sou pessoa disso kkk,
Fala ma Xia te txem seb k coração tranquilo,Falar com a Xia me deixa bem com o coração tranquilo,
"Am ok, jam intende","Ah ok, já entendi",
Mut bom usa bô mãe como âncora,Muito bom utilizar a tua mãe como âncora,
"Nice, continua","Bom, continua",
"Sodade dela irmão, as vez coração t levanta pertod so ela p fazem relaxa","Saudades dela irmão, as vezes levanto com o coração apertado e só ela me faz relaxar",
T imegina uke k iss,Imagino o que é isso,
"Ma, t faze dret mesm","Mas, isso faz bem mesmo",
Ver bô oia mim t fala ma nha mãe às vez,Tomára tu visses eu e a minha mãe a falar às vezes,
Mim nem pensa txega ness estado ma ela,Nunca pensei em chegar em esses estado com ela,
Mãe ê cosa mes seb ek tem moss,Mãe é a coisa mais boa que se tem rapaz,
"adeh, e nos t reclama kkkk","Pois, e nós reclamamos kkkk",
"Néra, nos ê prop uns merda moda kbô t dze kkkk","De fato, nós somos uns merdas como tu dizes kkkk",
uns merda prop,uns merdas mesmo,
Nha mano,Meu irmão,
Manera?,Como vai?,
Ê moss cond bô poder txmem dfavor,"Rapaz, quando tu poderes, chama-me por favor",
Oia Bia mano,Olha a Bia mano,
Parabéns p Bia Djô,Parabéns para a Bia Djô,
dem el parábens lá dfavor,Da os meus parabéns para ela ai por favor,
Tabom irmão,Está bem irmão,
dond k no tite bei 25,Onde nós vamos no dia 25,
tem elgum festa diabom?,Tem alguma festa boa?,
ou no tite bei senta n elgum ponta,Ou vamos nos sentar em algum lugar,
"Dia 25 einda t sem plone, e talvez sem dnher também kkkk","No dia 25 ainda estou sem planos, e talvez sem dinheiro também kkkk",
"no t ranja, kel ê descontra","Nós arranjamos, isso é normal",
"Ade, muf tud nas calmas","Pois, coisas nas calmas",
a ê nas calmas mesm,"Pois, nas calmas mesmo",
No t improvisa ei,Nós improvisamos aqui,
Bô sabe k nos ê mestre na art do improviso,Tu sabes que nós somos mestres em improvisação,
"por iss k m t dzeb nos lorgod, moss kkk","por isso que te digo que nós somos abandonados, rapaz kkk",
Sorre pess kul,Desculpa pelo Cool,
descontra,Relaxado,
kel so prova k nos uns merda mesm kkkk,Aquilo só prova que somos uns merdas mesmo kkkk,
txem bem dá kel krrida irmao,Deixa-me ir dar aquela corrida irmão,
"mante kul, já bô sebe ê nos, tamo juntão mano","Fica bem, já sabes somos nós, estamos juntos irmão",
Noite feliz,Noite feliz,
"manera, nha irmão?","Como vai, irmão?",
jajá sexta em irmão,jajá é sexta feira em irmão,
Até t esperob nha man,Até te espero meu irmão,
"Jovy t prei, acho k Elvis t bem também","O Jovy está por aqui, acho que o Elvis virá também",
el tite bei manha kel dzem,ele irá amanhã que ele me disse,
Sebim,Bom,
gordem la uns dos momom,Guarda-me aí dois mamões,
Ome ele t zerada,"Já foste, esta zerado mesmo",
Gosterdia Milene deme fala sobre es kkkk,Há uns dias atrás a Milene falou comigo sobre eles kkkk,
"mokem, kkkk?","porque, kkkk?",
Ele dzem k es dzel k m tava estod t kmel es,Ela disse que lhe disseram que eu estava a comer-los,
Último vez k hm tive la foi ma bo,Última vez que eu estive ai foi contigo,
ntom complicado pá kkk,então complicado kkk,
dzel bô tava kmel era kes meminha mo Zeca dze,diz a ela que tu irás comer as maminhas como disse o Zeca,
oi um man bnit mosss,veja um rapaz bonito,
bô ene d otxá,tu não achas,
"Te otxá sim, nha irmão","eu acho sim, meu irmão",
bô t kul? Ess life?,estás bem? Essa vida?,
"sim, el tite bei descontra","sim, esta indo bem",
"já bô sebe, so krrida kkk","já tu sabes, só a correr kkk",
"Ade so krreria, ê essim k tem k ser","Pois só correrias, é assim que tem que ser",
Mim t entra ne escola dia 10,Eu entra em aulas no dia 10,
Jame tek vontad d bei,Já estou com vontade de ir,
"Mano, tud dret?","irmão, tudo bom?",
"Te suav, e bô irmão?","Estou suave, e tu irmão?",
m txmob a dias ma el bei p caixa d correi,eu te chamei a dias mas foi para a caixa de correio,
Talvez era falta d rede,Talvez era falta de rede,
t suave també,estou suave também,
yeah m dá fe,"yeah, eu vi logo",
Gora t estod mes ê d kel lod dala e la tem carência d red,"Agora, ando a ficar mais daquele lado e aí tem carência de rede",
Te suav també puto,Estou suave também puto,
"m oia log, t descontra","eu vi logo, está Relaxado",
k t dzid moss?,O que é que se tem dito ao rapaz?,
So te espera sexta dxga pum tmá 1 semeninha d féria e relaxa um bocod,Estou só a esperar que a sexta feira chegue para que eu tome uma semaninha de feria e relaxar um bocado,
"pois, iss erá bom speed","pois, isso era bom expediente",
k bô tite planeia faze?,O que é que estás a planear fazer?,
m pensa es tava bé dá nos era 15 dia,eu pensei que eles nos iam dar era 15 dias,
"Te sem grana, k m tive imprevisto k nhe lent, k se foss tava camba São Vicente","estou sem dinheiro, porque eu tive um imprevisto com a minha lente, porque se não fosse eu ia para São Vicente",
ma kel lent xtraga?,Mas a lente ficou danificada?,
"adé, devia ser 15, p bô bensse dvera","pois devia ser 15, para que viesses de verdade",
sodade d bô,saudades de ti,
"Sim, ele eskua um perna, gora tem k bé ranjá ot","Sim, ele caiu uma perna agora eu tenho que ir arranjar outro",
ma kond k bô t bei trokel?,mas quando é que o vais trocar?,
"Ade kel ideia era bé prop relaxa faze uns volta ma bô mediante bô pussiblidade,","Pois, a ideia era ir mesmo relaxar e fazer umas voltas contigo, mediante a tua possibílidade,",
passa 1 temp ma Vuca e ma Raff també,passar um tempo com o Vuca e o Raff também,
Jame te kel dnher,Já tenho o dinheiro,
"T so t termina uns test, talvez t bé sobd ou segunta","Estou só a terminar uns testes, talvez vou no sabado ou na segunda",
m tem temp agora moss,eu tenho tempo agora rapaz,
"m t sei d job 5, 6 hora","eu saio do trabalho as 5, 6 horas",
"adeh, inda mes","pois, ainda mais",
"am sim, nice","ah sim, bom",
Es gent dá nos so 1 semana so p txem mal custmod,Esta gente nos deu só uma semana para nos deixar mal acostumados,
"kkk calma, ma pelo menos bô t relaxa kkk","kkk calmas, mas pelo menos tu vias relaxar kkk",
"pois, t porp k falta","pois, estou mesmo com falta",
Gora te bei te planalto lest anda prala um bocod,Agora vou até o planalto leste andar por aí um bocado,
"moss, bô tem k bei levem la um dia també porkê perce k cosa tite rende prala","rapaz, tens de me levar ai um dia porque parece que as coisas rendem bem por ai",
Ade basta bô kizer ê so no t bei irmão,"Pois, basta tu quiseres é só nos irmos irmão",
la tem x mier?,ai tem x mulheres?,
"Prala tem uns txuca, ma ê ne féria grend kbô t oies","Ai tem uma miúdas, mas é nas férias grandes que tu os vês",
ntom no t bei n féria grend kk,então vamos aí nas férias grandes kkk,
pronta n mei d mut,aprontar no meio dos matos,
No t sebi p no bé anda um bocod prala,Nós subimos para irmos andar um bocado por aí,
el t faze nos bem kkk,isto iria nos fazer bem kkk,
Um bem enorme nem nha mano,um bem enorme nem meu irmão,
sim moss,sim rapaz,
"e mas, bô ma kes mier prala?","e mais, tu e as mulheres por aí?",
"Sorre demora p responde, ek m tite fala ma nhe irmã","Desculpa demorar para responder, é que eu estava a falar com a minha irmã",
"descontra moss, nos ene dem des cosa","relaxado rapaz, nós não temos dessas coisas",
ela t dret?,Ela esta bem?,
"Boa noit, nha man","Boa noite, meu irmão",
manera k bô ta?,Como é que estas?,
"Te suav, prei t relaxa antes d bé deta, e bô kualé?","Estou suave, por aqui a relaxar antes de ir deitar, e tu como vais?",
t prei p bem dá um carada,estou aqui para ir-me deitar,
bô t faze dret,tu fazes bem,
t manha bijim lá,até amanhã beijinhos ai,
No te djunt nha irmão,Estamos juntos meu irmão,
"Nery manera nha man, t tud dret?","Nery, como vai meu irmão, está tudo bem?",
mim tei n es,eu estou aqui neles,
Mim um faze so 3,Eu fiz só 3,
Ess semana tem mini-test de Gestão projeto?,Esta semana tem mini-teste de Gestão de projetos?,
axo k sim,acho que sim,
Bô txmem jovem,Tu me chamaste jovem,
Era p dzeb k Rafael dze p bô entra na Messager,Era para te dizer que o Rafael disse para tu entrares no Messenger,
bô tava pode mandam fot d kel test k bô tinha n mom kel hora?,tu poderias me enviar foto do teste que tinhas na mão aquela hora?,
moda bô tel la dfavor,assim como tu o tinhas ai por favor,
K correção?,k correção?,
"sim, posivel?","sim, possivel?",
ntom t fca t xpera ntom,então fico a esperar,
Xpia sel t parcê dret,Vê se aparece bem,
bô ta pode trel banda a banda p el fca mas proximo dfavor,tu conseguirias o tirar lado a lado para ver se fica mais próximo por favor,
Ok,Ok,
Xpia la,Vê ai,
Kel número 2 de grupo 2,Aquele número 2 do grupo 2,
"um d kes mecânismos  ê socket, onom?","um daqueles meĉanismos ê o socket, não?",
pera t bem xpiel t dzeb,espera eu vou ver e te digo,
controlo de fluxo també,controlo de fluxo também,
Yah ok brigada,Yah ok obrigado,
d nada,de nada,
"Sonia, kel assunt d test ê oke mesm?","Sonia, o assunto do teste é o que mesmo?",
K tem test manha,Não tem teste amanhã,
"Ah ok, kel test d kel dia...","Ah ok, aquele teste daquele dia...",
Ê kes de normalização parte 1 e parte 2,São aquelas de normalização parte 1 e parte 2,
kes slide d aula 5 t sei n kel test?,Os slides da aula 5 vão sair no teste?,
Ê so 4 parte um 1 e 2,É somente 4 parte 1 e 2,
ok brigada,ok obrigada,
Ana ene p xkece,Ana não te esqueças,
pera t bem mandob kes resolução també,espera eu vou te enviar as resoluções também,
"Ok, dikanada m t mondob el","Ok, daqui a mais uns minutos te envio ele",
Xpia la se bô t oias dret,Vê ai se tu os vês bem,
ene d dá,não deu,
s bô t k Swag bô ta txmam dfavor,se tu tiveres com Swag tu podes me telefonar por favor,
Xpera um bokedim,Espera um pouco,
M t torna mandob es,Eu vou os reiniciar para ti novamente,
Essim t kul?,Assim esta bem?,
"yah, mior","yah, melhor",
oia bô ta pode mandam kes d Abel també dfavor,Vê se tu consegues me enviar os do Abel também ai por favor,
Ma es ê um bokod,Mas eles são muitos,
So xpera um bokedim,Espera só um pouco,
Neves dze um exercício  semelhante  t sei ne test,O Neves disse que um exercício semelhante irá sair no teste,
Sónia? Bô ta pode leva bô caderne d PA manham dfavor?,Sónia? Tu consegues levar o teu caderno de PA amanhã por favor?,
"Oi, T leval sim","Oi, eu o levo sim",
manera k bô ta?,como é que tu estas?,
"Kul, e bh?","bem, e tu?",
manham bô t xplicam kes exercicio k profesoressor faze kel dia,amanhã tu me explicas os exercícios que o professor fez aquele dia,
també t kul,também estou bem,
brigada desd ja,obrigada desde já,
"mante kul ntom, ene p xkece","Fica bem então, não te esqueças",
Ok na boa,Ok esta bem,
Sonia bom dia,Sonia bom dia,
"bô ta pode levam bô caderne d kel disciplina d Abel dfavor, p m pod copia uns materia la dfavor","Tu conseguirias me levar o teu caderno da disciplina do Abel por favor, para eu poder copiar umas matérias ai por favor",
levam el hj,leva-o hoje,
T levob el sim,Te levo ele sim,
Bom dia,Bom dia,
Kul e bh?,bem e tu?,
"també, ess xtud manera kel tite bei?","também, esse estudo como é que ele está a ir?",
"Sonia, bô tem certesa k test tite bei ser de consulta?","Sonia, tens a certeza que o teste será de consulta?",
Test d hoje ê so cálculo ou teória també?,O teste de hoje é só cálculo ou tem teórica também?,
tud es kkk,Todos eles kkk,
Professor  dze no leva nos máterial,O professor disse para levarmos os nossos máteriais,
t xpera bem k bô tem razão,Espero bem que tu tenhas razão,
"agora k sabe sel tava t fala d máquina e formulário, ou kes slide","agora que não sei se ele estava a falar de máquina e formulário, ou os slides",
kel la k m kre sebe mesm,isto é que eu quero saber mesmo,
Ma leva pelo menos um formulário num papel,Mas eu vou levar pelo menos um formulário em um papel,
for m t fazel la dent d sala n hora d test,se for eu o faço ei dentro da sala na hora do teste,
bô tite bei la p escola hoje?,Tu vais aí para a escola hoje?,
"Oi, ta bai sim, la p 12 hora","Oi, eu vou sim, aí por volta das 12 horas",
"bô t podem torna mandam fot d bô cader dfavor, desde diodo","tu consegues me enviar novamente fotos do teu cader no por favor, desde diodos",
"tip ma antes de trá fot, bô t marca um número n bô caderne em sequencia de um em um que p m pode acompanha","mas tipo antes de tirares as fotos, tu marcas um número no teu caderno em sequência de um em um para que eu possa acompanhar",
Nhâ movel k tite trá fot mut kul,O meu telefone não está a tirar fotos muito boas,
yh ok,yah ok,
Bô k djga tras aont,Tu não chegaste a os tirar ontem,
"não, pode txá jam dá um jet","não, podes deixar já dei um jeito",
"Sonia, bô t pode bei sed manham p xcola? tip 7:15.","Sonia, tu consegues ir amanhã cedo para a escola? Tipo 7:15.",
bô t xplicam uns cosa dfavor?,Tu me explicas umas coisas por favor?,
"sim, um t tenta.","sim, vou tentar.",
dfavor bei,por favor vá,
oia Rafa dob fala sobre um cosa mas log,"Olha, o Rafa te falou sobre uma coisa mais tarde",
no t ideia d encontra la n praça 7:45,estamos com ideias de encontrar aí na praça às 7:45,
leva 150$00,leva 150$00,
no tite bei pronta um cosa,nós vamos aprontar algo,
Yh um t xpia,Yh vou ver,
"não, ê p bô bei","não, é para vires mesmo",
T la t dze bsot,Até aí vos digo algo,
"falta pokin p 8 hora, bô sebe onoh?","falta pouco para as 8 horas, tu sabes não?",
Jame tinha dzid kes moss k não,Já tinha dito os rapazes que não,
Dpox ne bem pá casa ê chat,Depois na hora de vir para casa é complicado,
"não, bô t panha autocarro antes de 10 hora","não, tu pegas o autocarro antes das 10 horas",
"não, fcá p próxima","não, fica para a próxima",
"ok, na boa ntom","ok, está bem então",
"Bom ""noitada"" p bsot","Boa ""noitada"" para vocês",
"não, nos ene dite bei fcá ate tard","não, nós não vamos ficar até tarde",
so mais ou menos até 22 Hora,só mais ou menos até 22 horas,
ntom já bô sebe,então já sabes,
Feliz one nov atrazod kkk,Feliz ano novo atrasado kkk,
Manera?,Como vai?,
Kel negocê d kel código p kes mancarra t d pê?,Aquele negócio do código pelas mancarras ainda está de pé?,
"s bô tiver terminod kel troboi d Paulo, bô tava pode mandam el dfavor","se tiveres terminado o trabalho do Paulo, poderias-me o enviar por favor",
p m pode faze kel PDF,para eu poder fazer o PDF,
e adiciona uns dos cosa k m t otxá intressante po lá,e adicionar umas coisas que eu achei interessante colocar aí,
"Xpera um bokedim, t sem net","Espere um pouco, estou sem net",
ok jal txega,ok já chegou,
oia el t bom moda el ta,olha ele está bom como está,
"uke k m tava t bei pô, bô tel la","o que eu estava a ir colocar, tu já tens aí",
gora m t faze kel Powerpoint ou bô t fazel?,agora eu faço o Powerpoint ou fazes tu?,
"Bô pode fazel, m t sem Word","Tu podes o fazer, estou sem Word",
"també bô pode faze capa, ma einda ene ê p envial","também tu podes fazer a capa, mas ainda não é para enviar",
"ok, ta bom, jam enviob um email","ok, está bom, já te enviei um email",
"Kel introdução t bá até la ond k m tem pust kel ""etc""","A introdução vai até onde eu tenho colocado o ""etc""",
Kel ot ê ot folha,Aquele outro é uma outra folha,
Ma manha um t compol la ne escola,Mas amanhã eu lhe dou um jeito aí na escola,
ok d boa ntom,"ok, está bom então",
Rafa dze so bô t pode mendem fot d bô keder de circuitos p m pode enviel,O Rafa disse se tu poderias me enviar fotos do teu caderno de circuitos para eu poder lhe enviar,
ou no marca trá fot p enviel,ou podemos marcar tirar fotos para lhe enviar,
Jame enviel es na messager,Eu já os enviei para ele no messager,
Bô t pode manda nos kel cosa d Packet Tracer p email?,Tu podemos nos enviar aquela coisa do Packet Tracer por email?,
"pera t bem manda bzot el, ma go k m tite bem fazel","Espera eu vos lhe envio, mas agora que eu estou a o fazer",
"jam faze kel 3, dret","já fiz o 3, corretamente",
go tite bem faze kel 4,agora vou fazer o 4,
kel 1B einda mim ene intendel,o 1B ainda eu não o entendi,
tite falta ê kel 3b,esta a faltar o 3B,
kel 1B já bô tinha el feit,o 1B já tu o tinhas feito,
E kel C ê kel k no faze,E o C é aquele que nós fizemos,
Bá la ne kel email k m mandob bô t otxá uns cosa interessante,Vai no email que eu te enviei e vais encontrar umas coisas interessantes,
jam fazel,Eu já o fiz,
ok txám bem xpiel,ok deixa-me ir ver,
jam tite oiel,já o estou a ver,
"Kel 4 acho k m fazel errod, m fazel como um sinal discreto ma el ê continuo","o 4 acho que eu o fiz errado, eu o fiz como um sinal discreto mas ele é contínuo",
"yah m dá fe, m tei t tenta fazel","yah eu dei conta disso, estou aqui a tentar o fazer",
Mim també,Eu também,
"ma el mut dificil, manera k no tite bei fazel","mas ele é muito difícil, como é que eu o vou conseguir fazer",
"Inda mim k sabe, ma dikanada um t tem um ideia","Ainda eu não sei, mas daqui a nada eu tenho uma ideia",
"pois, ntom despacha","pois, então despacha-te",
kualker cosa m t mandob fot,qualquer coisa eu te envio uma foto,
el um reta kt bei t aumenta exponencialment,ele é uma reta que está a aumentar exponencialmente,
m t otxá k profesoressor dá bark ne kel part kel dze k el ê um sinal  contínuo,eu acho que o professor errou naquela parte em que ele diz que é um sinal contínuo,
Se ele ê continuo no tem k usa ê kel muf cont d integral e bá xpia kes sobreposição,Se ele é contínuo temos que utilizar aquelas coisas de integrais para ir ver as sobreposições,
"sim, manham no t pol duvida","sim, amanhã nós o colocamos duvidas",
porke tip sel for contínua el t fcá mas fácil,porque se ele for contínua fica mais fácil,
"Kkk iss ê k ta, k mim um totxá k se fosse  discreto el era mas fácil","kkk isso é que esta, porque eu acho que se ele fosse discreto ele era mais fácil",
"ma pront nem, gora ê bem intende oke k profesoressor kre","mas pronto nem, agora é vir entender o que o professor quer",
"pêra kel ene moda Varela, manha no t perguntal","Espera que ele não é como o Varela, amanhã nós o perguntamos",
també einda nada mesm,também ainda nada mesmo,
m tem mais ou menos  ideia ê manera,eu tenho mais ou menos ideia como é,
Ma problema k mim k sabê escreve kel sinal x1 em função de x3,mas problema é que eu não sei escrever as funções x1 em função de x3,
"justin muda m ta, tip m decompol","Estas igual a como estou, tipo eu o decompos",
Ma se no xpia kel x3 tem algum cosa semelhante  k kel parte ímpar d kel x1,Mas se formos ver o x3 tem alguma coisa semelhante com a parte ímpar do x1,
manham no t discutil mior,amanhã nós o discutimos melhor,
Yh no t xpia  se Raffaele já fazel també,Yah nós vamos ver se o Rafale já o fez também,
"mim m tite bei faze um documento m tite bei manda profesoressor ê fot mas nada, ou m t bei scanea nha cadern m t mendel el","Eu também estou a fazer uma documentação e vou enviar ou professor somente fotos e mais nada, ou eu vou escanear o meu caderno e envio",
"Tava trá fot e fazel um PDF, k tem temp p desenha gráfico","Poderia tirar umas fotos e fazer um ficheiro PDF, não estou é com tempo para desenhar gráficos",
"m t bei scanea nha cader, essim mas mior","vou escanear o meu caderno, assim é mais melhor",
Yh també ê bom ideia,Yah também é boa ideia,
"já mim ene dit bei, tite bem xpera um hosped","eu já não vou, estou a espera de uns hóspedes",
No k consegui e acho k tem algum erro n kel 4,Nós não conseguimos e acho que tem algo de errado no número 4,
"sim, porke el t bei dá um resultod xtronhe","sim, porque este irá dar uns resultados estranhos",
"ma kel exercicio, bô sebe resolvel","o exercicio, tu o sabes resolver",
Mim ma Jojó fazel ma mim k sabe sel t drt,eu e o Jojó fizemos mas não sei se está correto,
Mim jame k t lá ne escola,Eu já não estou ai na escola,
"kel lápis, bô ene dem come imprestem el","O lápis, tu não tens como o me emprestar",
"k t k telefone, mandal p mensagem","não estou com telefone, envia-o por mensagem",
"Sonia manera k nome d kel placa, kel bronk?","Sonia como é o nome da placa, a branca?",
placa d uke mesm?,qual placa mesmo?,
e també kel part onde k no tava liga kes font antes de ligas n kel placa,e também aquela parte onde nós ligamos a fonte antes de ligar a placa mesmo,
Txal sem pô segunda no t pergunta kel estagiário,Deixa-o sem colocar e na segunda nós perguntamos ao estagiário,
cond bô poder mendem fot de kel tabela de frêquencia k profesor tava t faze lá dent d sala,quando tu puderes podes me enviar fotos da tabela de frequência que o professor estava a fazer aí dentro da sala,
m t organizal primer depox t mandob el,vou o organizar primeiro e depois eu o te envio,
"t dret, brigada desde já","está bem, obrigada desde agora",
D nada,de nada,
"uke k m tem ate gora, m t bem mondob el","o que eu tenho até agora, eu o vou te enviar",
Manha um t mandob  kel tabela,Amanhã eu te vou enviar a tabela,
"Bô t inspirod em, ma calma","Tu estar inspirado, más calma",
Entrega ê terça?,A entrega é na terça?,
Tatuagem a escolha e d graça,Tatuagem a escolha e de graça,
Bom ideia em!!!,Boa ideia em!!!,
"mim s m po kel cosa lá kem t contsem, já sebe oque k es tite bei pô","eu só coloquei aquela coisa aí que eu conheço, já sei o que eles vão colocar",
Jame k tem mas nada,Já não tenho mais nada,
oiel bô dzem algo,Vê ai e me diz algo,
bô computador t atualizod?,O teu computador está atualizado?,
T kul e bh?,Estou bem e tu?,
"Mas um bokod, grinhessim, um tite lava roupa","Mais um tanto, agora estou à lavar roupas",
já bô xpiel?,Tu já o viste?,
"Inda não, ma kel k bô tinha mandod antes sim.","Ainda não, mas o que tinha enviado antes sim.",
M oia uns cosa lá k no tite bá muda de ordem,Eu vi algumas coisas aí que nós vamos mudar de ordem,
"manera k não, Sonia","Como não, Sonia",
"m k t k internet, ma como um t confia na bô...","não estou com internet, mas como eu confio em ti...",
"ta bom ntom, parceira","está bem então, parceira",
"Segunda no t xpiel, k no tem k xpia uke k Rafael faze e juntas","Na segunda nós o veremos, porque nós temos de ver o que o Rafael fêz e juntá-los",
e kel de Rui també,e o do Rui também,
t manham ntom,até amanhã então,
"Bom estudo, apesar k bô tite bá estuda ê manhã dnot","Bom estudo, apesar de que vais estudar amanhã de noite.",
hahaha manera k bô devinha haha...,hahaha como é que adivinhaste haha...,
"jame t ""contceb"" cond assunt ê estuda","Já te ""conheço"" quando o assunto é estudar",
"Sonia bô t intendem, onoh","Sonia tu me entendes, ou não",
klar,claro,
bô sebe manera k nha cerebro t funciona,tu já sabes como o meu cerebro funciona,
Ne kel último  madrugada  antes d test desempenho ê maior,Na última madrugada antes do teste o desempenho é maior,
nivel hard prop... ma manham ê tud ou nada mesm,nível hard mesmo... mas amanhã é tudo ou nada mesmo,
Adé mim jame t prei t xtuda algum cosa,pois eu já estou aqui a estudar qualquer coisa,
"Mandame fot d kel exercicio 4, favor","Enviame fotos do exercicio 4, por favor",
el tite bei meriod lembra mod nha câmera,Este irá com péssima qualidade devido a minha câmera,
Manhá aula d Varela ê 8 hora?,Amanhã a aula do Varela é às 8 horas?,
"sim, bô dze? Bô bai kel hora um fka k bô escuta uvi","Sim, tu disseste? Ouve aqui, tu foste embora aquela hora e eu fiquei com o teu auricular",
"yh m dá fé, manham t tmel","yah eu dei por isso, amanhã eu o tomo",
